term,normalized_term,definition,definition_source,matched_source_term,source_columns,network_keys,n_mentions,needs_llm_definition,text
Cerebellum,cerebellum,"The cerebellum is a region of the brain located at the base near the brainstem, significantly implicated in coordinating voluntary movements, balance, and posture; it co-occurs with humans, males, females, and can be visualized using Magnetic Resonance Imaging (MRI), with its functions and structures being studied across all age groups including adults.",kg_mesh,Cerebellum,region_terms,motor,27,False,"Cerebellum [SEP] The cerebellum is a region of the brain located at the base near the brainstem, significantly implicated in coordinating voluntary movements, balance, and posture; it co-occurs with humans, males, females, and can be visualized using Magnetic Resonance Imaging (MRI), with its functions and structures being studied across all age groups including adults."
Cingulo-Opercular network,cingulo opercular network,"The cingulo-opercular network includes dorsal anterior cingulate cortex, medial superior frontal cortex, anterior insula, frontal operculum, anterior prefrontal cortex, anterior midline regions, and thalamus. It supports salience detection, performance monitoring, error detection, stable task-set maintenance, sustained control, autonomic coordination, and interoception.",network_test_set_labels.long_definition,Cingulo-Opercular,network_name,cingulo_opercular,14,False,"Cingulo-Opercular network [SEP] The cingulo-opercular network includes dorsal anterior cingulate cortex, medial superior frontal cortex, anterior insula, frontal operculum, anterior prefrontal cortex, anterior midline regions, and thalamus. It supports salience detection, performance monitoring, error detection, stable task-set maintenance, sustained control, autonomic coordination, and interoception."
Cognitive flexibility,cognitive flexibility,"Cognitive flexibility refers to an individual's ability to adapt their thinking and behavior in response to changing goals or environmental demands, a construct significantly implicated in cognition and executive function, and associated with neural processes within the brain that can be disrupted in various disorders. This term co-occurs with humans, males, females, and is closely linked to cognitive constructs such as cognition and executive function, highlighting its importance in understanding human behavior and neurological health.",kg_mesh,Cognitive Flexibility,cognitive_terms,frontoparietal_control,18,False,"Cognitive flexibility [SEP] Cognitive flexibility refers to an individual's ability to adapt their thinking and behavior in response to changing goals or environmental demands, a construct significantly implicated in cognition and executive function, and associated with neural processes within the brain that can be disrupted in various disorders. This term co-occurs with humans, males, females, and is closely linked to cognitive constructs such as cognition and executive function, highlighting its importance in understanding human behavior and neurological health."
Decision making,decision making,The deliberate selection of a single alternative amongst multiple alternatives.,cogatlas,decision making,cognitive_terms,frontoparietal_control,18,False,Decision making [SEP] The deliberate selection of a single alternative amongst multiple alternatives.
Default Mode network,default mode network,"The default mode network includes medial prefrontal cortex, posterior cingulate cortex, precuneus, angular gyrus, lateral inferior parietal cortex, lateral temporal cortex, retrosplenial cortex, posterior midline regions, and hippocampal formation. It supports self-referential thought, mind-wandering, spontaneous thought, autobiographical memory, future thinking, social cognition, and theory of mind.",network_test_set_labels.long_definition,Default Mode,network_name,default_mode,13,False,"Default Mode network [SEP] The default mode network includes medial prefrontal cortex, posterior cingulate cortex, precuneus, angular gyrus, lateral inferior parietal cortex, lateral temporal cortex, retrosplenial cortex, posterior midline regions, and hippocampal formation. It supports self-referential thought, mind-wandering, spontaneous thought, autobiographical memory, future thinking, social cognition, and theory of mind."
Dorsal anterior cingulate cortex (dACC),dorsal anterior cingulate cortex,"Dorsal anterior cingulate cortex is involved in cognitive control, error detection, and response selection during complex problem-solving tasks.",ollama:qwen2.5:14b-instruct,Dorsal anterior cingulate cortex (dACC),region_terms,cingulo_opercular,14,False,"Dorsal anterior cingulate cortex (dACC) [SEP] Dorsal anterior cingulate cortex is involved in cognitive control, error detection, and response selection during complex problem-solving tasks."
Dorsal occipital-parietal,dorsal occipital parietal,"Dorsal occipital-parietal region involved in spatial cognition and attention, integrating visual and somatosensory information.",ollama:qwen2.5:14b-instruct,Dorsal occipital-parietal,region_terms,visual,19,False,"Dorsal occipital-parietal [SEP] Dorsal occipital-parietal region involved in spatial cognition and attention, integrating visual and somatosensory information."
Dorsolateral prefrontal cortex,dorsolateral prefrontal cortex,"The Dorsolateral Prefrontal Cortex (DLPFC) is an anatomical region in the brain associated with executive functions such as working memory, reasoning, planning, and regulating social behavior; this area co-occurs with humans across various demographics including females, males, and adults of different ages, and is implicated in cognitive processes relevant to both young adults and older individuals.",kg_mesh,Dorsolateral Prefrontal Cortex,region_terms,frontoparietal_control,18,False,"Dorsolateral prefrontal cortex [SEP] The Dorsolateral Prefrontal Cortex (DLPFC) is an anatomical region in the brain associated with executive functions such as working memory, reasoning, planning, and regulating social behavior; this area co-occurs with humans across various demographics including females, males, and adults of different ages, and is implicated in cognitive processes relevant to both young adults and older individuals."
Error detection,error detection,Processes that identify when an error has been made.,cogatlas,error detection,cognitive_terms,cingulo_opercular,14,False,Error detection [SEP] Processes that identify when an error has been made.
Executive control,executive control,"Executive control manages cognitive processes to guide behavior towards goals, overriding impulses when needed.",ollama:qwen2.5:14b-instruct,Executive control,cognitive_terms,frontoparietal_control,18,False,"Executive control [SEP] Executive control manages cognitive processes to guide behavior towards goals, overriding impulses when needed."
Extrastriate visual cortex,extrastriate visual cortex,"The extrastriate visual cortex is a region of the brain involved in visual perception, located outside the striate cortex (primary visual cortex) in the occipital lobe; it processes complex visual information and co-occurs with both broader anatomical regions like the occipital lobe and functional processes such as perception.",kg_mesh,extrastriate visual cortex,region_terms,visual,19,False,"Extrastriate visual cortex [SEP] The extrastriate visual cortex is a region of the brain involved in visual perception, located outside the striate cortex (primary visual cortex) in the occipital lobe; it processes complex visual information and co-occurs with both broader anatomical regions like the occipital lobe and functional processes such as perception."
Face processing,face processing,Face processing involves neural mechanisms that recognize and interpret facial expressions and identities.,ollama:qwen2.5:14b-instruct,Face processing,cognitive_terms,visual,19,False,Face processing [SEP] Face processing involves neural mechanisms that recognize and interpret facial expressions and identities.
Frontal eye fields,frontal eye fields,Frontal eye fields are brain areas in the frontal cortex involved in voluntary eye movements and attention.,ollama:qwen2.5:14b-instruct,Frontal eye fields,region_terms,attention,5,False,Frontal eye fields [SEP] Frontal eye fields are brain areas in the frontal cortex involved in voluntary eye movements and attention.
Frontal operculum,frontal operculum,Frontal operculum is a region in the frontal cortex involved in speech production and motor skills integration.,ollama:qwen2.5:14b-instruct,Frontal operculum,region_terms,cingulo_opercular,14,False,Frontal operculum [SEP] Frontal operculum is a region in the frontal cortex involved in speech production and motor skills integration.
Frontoparietal Control network,frontoparietal control network,"The frontoparietal control network includes dorsolateral prefrontal cortex, inferior frontal sulcus, lateral prefrontal cortex, anterior prefrontal cortex, inferior parietal lobule, intraparietal sulcus, and lateral temporal cortex. It supports executive control, working memory, cognitive flexibility, task switching, rule and goal representation, decision making, planning, and adaptive control.",network_test_set_labels.long_definition,Frontoparietal Control,network_name,frontoparietal_control,18,False,"Frontoparietal Control network [SEP] The frontoparietal control network includes dorsolateral prefrontal cortex, inferior frontal sulcus, lateral prefrontal cortex, anterior prefrontal cortex, inferior parietal lobule, intraparietal sulcus, and lateral temporal cortex. It supports executive control, working memory, cognitive flexibility, task switching, rule and goal representation, decision making, planning, and adaptive control."
Fusiform gyrus,fusiform gyrus,"Fusiform gyrus is a brain structure in the temporal lobe critical for face and object recognition, as well as semantic memory.",ollama:qwen2.5:14b-instruct,Fusiform gyrus,region_terms,visual,19,False,"Fusiform gyrus [SEP] Fusiform gyrus is a brain structure in the temporal lobe critical for face and object recognition, as well as semantic memory."
Future thinking,future thinking,Future thinking involves cognitive processes using memory and imagination to envision potential future scenarios and outcomes.,ollama:qwen2.5:14b-instruct,Future thinking,cognitive_terms,default_mode,13,False,Future thinking [SEP] Future thinking involves cognitive processes using memory and imagination to envision potential future scenarios and outcomes.
Hippocampal formation,hippocampal formation,"Hippocampal formation includes structures crucial for memory and spatial navigation, such as hippocampus, dentate gyrus, and subiculum.",ollama:qwen2.5:14b-instruct,Hippocampal formation,region_terms,default_mode,13,False,"Hippocampal formation [SEP] Hippocampal formation includes structures crucial for memory and spatial navigation, such as hippocampus, dentate gyrus, and subiculum."
Inferior frontal gyrus,inferior frontal gyrus,"Inferior frontal gyrus is a brain region involved in speech production and language processing, part of the left frontal lobe.",ollama:qwen2.5:14b-instruct,Inferior frontal gyrus,region_terms,language,3,False,"Inferior frontal gyrus [SEP] Inferior frontal gyrus is a brain region involved in speech production and language processing, part of the left frontal lobe."
Inferior frontal sulcus,inferior frontal sulcus,"The inferior frontal sulcus is a groove on the inner surface of the frontal lobe, co-occurring with the prefrontal cortex, which plays a crucial role in speech production, language processing, and cognitive functions such as working memory and decision-making.",kg_mesh,inferior frontal sulcus,region_terms,frontoparietal_control,18,False,"Inferior frontal sulcus [SEP] The inferior frontal sulcus is a groove on the inner surface of the frontal lobe, co-occurring with the prefrontal cortex, which plays a crucial role in speech production, language processing, and cognitive functions such as working memory and decision-making."
Inferior parietal lobule,inferior parietal lobule,Inferior parietal lobule processes sensory information to support cognitive functions like language and spatial awareness.,ollama:qwen2.5:14b-instruct,Inferior parietal lobule,region_terms,frontoparietal_control,18,False,Inferior parietal lobule [SEP] Inferior parietal lobule processes sensory information to support cognitive functions like language and spatial awareness.
Insula,insula,"Insula is a cerebral cortex region involved in consciousness and emotion regulation, integrating sensory, motor, and cognitive information.",ollama:qwen2.5:14b-instruct,Insula,region_terms,auditory,5,False,"Insula [SEP] Insula is a cerebral cortex region involved in consciousness and emotion regulation, integrating sensory, motor, and cognitive information."
Interoception,interoception,"Perception of stimuli inside the body, e.g. hunger, thirst, pain.",cogatlas,interoception,cognitive_terms,cingulo_opercular,14,False,"Interoception [SEP] Perception of stimuli inside the body, e.g. hunger, thirst, pain."
Intraparietal sulcus,intraparietal sulcus,"Intraparietal sulcus is a cortical structure crucial for processing spatial awareness and attention, integrating sensory information.",ollama:qwen2.5:14b-instruct,Intraparietal sulcus,region_terms,attention; frontoparietal_control,23,False,"Intraparietal sulcus [SEP] Intraparietal sulcus is a cortical structure crucial for processing spatial awareness and attention, integrating sensory information."
Intraparietal visual,intraparietal visual,Area of the brain involved in processing visual information and spatial awareness within the parietal lobe.,ollama:qwen2.5:14b-instruct,Intraparietal visual,region_terms,visual,19,False,Intraparietal visual [SEP] Area of the brain involved in processing visual information and spatial awareness within the parietal lobe.
Language network,language network,"The language network includes inferior frontal gyrus, posterior superior temporal gyrus, middle temporal gyrus, anterior temporal lobe, angular gyrus, and supramarginal gyrus. It supports speech comprehension and production, syntax processing, semantic processing, reading, lexical access, phonological processing, and sentence-level language integration.",network_test_set_labels.long_definition,Language,network_name,language,3,False,"Language network [SEP] The language network includes inferior frontal gyrus, posterior superior temporal gyrus, middle temporal gyrus, anterior temporal lobe, angular gyrus, and supramarginal gyrus. It supports speech comprehension and production, syntax processing, semantic processing, reading, lexical access, phonological processing, and sentence-level language integration."
Lateral inferior parietal cortex,lateral inferior parietal cortex,"Lateral inferior parietal cortex processes spatial awareness and attention, integrating sensory information for cognitive tasks.",ollama:qwen2.5:14b-instruct,Lateral inferior parietal cortex,region_terms,default_mode,13,False,"Lateral inferior parietal cortex [SEP] Lateral inferior parietal cortex processes spatial awareness and attention, integrating sensory information for cognitive tasks."
Lateral occipital cortex,lateral occipital cortex,Lateral occipital cortex processes visual information and is crucial for object recognition and scene perception.,ollama:qwen2.5:14b-instruct,Lateral occipital cortex,region_terms,visual,19,False,Lateral occipital cortex [SEP] Lateral occipital cortex processes visual information and is crucial for object recognition and scene perception.
Lateral PFC,lateral pfc,"Lateral PFC is a brain region crucial for executive functions, working memory, and cognitive control.",ollama:qwen2.5:14b-instruct,Lateral PFC,region_terms,frontoparietal_control,18,False,"Lateral PFC [SEP] Lateral PFC is a brain region crucial for executive functions, working memory, and cognitive control."
Lateral temporal cortex,lateral temporal cortex,"Lateral temporal cortex processes and stores semantic knowledge, aiding in language comprehension and object recognition.",ollama:qwen2.5:14b-instruct,Lateral temporal cortex,region_terms,default_mode; frontoparietal_control,31,False,"Lateral temporal cortex [SEP] Lateral temporal cortex processes and stores semantic knowledge, aiding in language comprehension and object recognition."
Lateral temporal-occipital,lateral temporal occipital,Region involved in visual word recognition and linking seen words to meaning.,ollama:qwen2.5:14b-instruct,Lateral temporal-occipital,region_terms,visual,19,False,Lateral temporal-occipital [SEP] Region involved in visual word recognition and linking seen words to meaning.
Lexical access,lexical access,"The process by which contact is made with the lexicon on the basis of an initial acoustic-phonetic or phonological representation of some portion of the speech input, the result of lexical success is a cohort of potential word candidates which are compatible with this initial analysis.",cogatlas,lexical access,cognitive_terms,language,3,False,"Lexical access [SEP] The process by which contact is made with the lexicon on the basis of an initial acoustic-phonetic or phonological representation of some portion of the speech input, the result of lexical success is a cohort of potential word candidates which are compatible with this initial analysis."
Medial prefrontal cortex (mPFC),medial prefrontal cortex,"The medial prefrontal cortex (mPFC) is an anatomical region within the prefrontal cortex that plays a crucial role in emotional regulation, decision-making, and social cognition; it co-occurs with areas such as the orbitofrontal cortex, amygdala, and is part of the Default Mode Network (DMN), and has been implicated in conditions like schizophrenia.",kg_mesh,medial prefrontal cortex,region_terms,default_mode,13,False,"Medial prefrontal cortex (mPFC) [SEP] The medial prefrontal cortex (mPFC) is an anatomical region within the prefrontal cortex that plays a crucial role in emotional regulation, decision-making, and social cognition; it co-occurs with areas such as the orbitofrontal cortex, amygdala, and is part of the Default Mode Network (DMN), and has been implicated in conditions like schizophrenia."
Medial superior frontal cortex,medial superior frontal cortex,Medial superior frontal cortex is a brain region involved in higher-order cognitive functions and executive control processes.,ollama:qwen2.5:14b-instruct,Medial superior frontal cortex,region_terms,cingulo_opercular,14,False,Medial superior frontal cortex [SEP] Medial superior frontal cortex is a brain region involved in higher-order cognitive functions and executive control processes.
Middle temporal gyrus,middle temporal gyrus,Middle temporal gyrus is a brain region involved in processing visual motion and integrating it with other sensory information.,ollama:qwen2.5:14b-instruct,Middle temporal gyrus,region_terms,language,3,False,Middle temporal gyrus [SEP] Middle temporal gyrus is a brain region involved in processing visual motion and integrating it with other sensory information.
Middle temporal visual area,middle temporal visual area,Middle temporal visual area processes motion perception and object recognition in the brain.,ollama:qwen2.5:14b-instruct,Middle temporal visual area,region_terms,visual,19,False,Middle temporal visual area [SEP] Middle temporal visual area processes motion perception and object recognition in the brain.
Mind-wandering,mind wandering,Mind-wandering involves spontaneous thoughts that deviate from the current environment or task focus.,ollama:qwen2.5:14b-instruct,Mind-wandering,cognitive_terms,default_mode,13,False,Mind-wandering [SEP] Mind-wandering involves spontaneous thoughts that deviate from the current environment or task focus.
Motion perception,motion perception,"Motion Perception is a cognitive construct involved in the brain's ability to interpret visual information, enabling humans (including males and females) to perceive and respond to moving objects. This process is crucial for navigation, object recognition, and overall spatial awareness, as evidenced through brain mapping studies in adults.",kg_mesh,Motion Perception,cognitive_terms,visual,19,False,"Motion perception [SEP] Motion Perception is a cognitive construct involved in the brain's ability to interpret visual information, enabling humans (including males and females) to perceive and respond to moving objects. This process is crucial for navigation, object recognition, and overall spatial awareness, as evidenced through brain mapping studies in adults."
Motor network,motor network,"The motor or somatomotor network includes primary motor cortex, primary somatosensory cortex, premotor cortex, supplementary motor area, paracentral lobule, cerebellum, basal ganglia, and thalamus. It supports voluntary movement execution, motor planning, touch, pain, temperature, proprioception, sensorimotor integration, motor learning, and motor coordination.",network_test_set_labels.long_definition,Motor,network_name,motor,27,False,"Motor network [SEP] The motor or somatomotor network includes primary motor cortex, primary somatosensory cortex, premotor cortex, supplementary motor area, paracentral lobule, cerebellum, basal ganglia, and thalamus. It supports voluntary movement execution, motor planning, touch, pain, temperature, proprioception, sensorimotor integration, motor learning, and motor coordination."
Motor coordination,motor coordination,Motor coordination involves precise timing and control of muscle movements to perform skilled actions smoothly.,ollama:qwen2.5:14b-instruct,Motor coordination,cognitive_terms,motor,27,False,Motor coordination [SEP] Motor coordination involves precise timing and control of muscle movements to perform skilled actions smoothly.
Motor learning,motor learning,"The process of improving motor skills, the smoothness and accuracy of movements.",cogatlas,motor learning,cognitive_terms,motor,27,False,"Motor learning [SEP] The process of improving motor skills, the smoothness and accuracy of movements."
Motor planning,motor planning,The conception of a future motoric action.,cogatlas,motor planning,cognitive_terms,motor,27,False,Motor planning [SEP] The conception of a future motoric action.
Music perception,music perception,The conscious experience of discriminate music among all types of sensory stimuli.,cogatlas,music perception,cognitive_terms,auditory,5,False,Music perception [SEP] The conscious experience of discriminate music among all types of sensory stimuli.
Object recognition,object recognition,"Is the ability to perceive an objectâs physical properties (such as shape, colour and texture) and apply semantic attributes to the object, which includes the understanding of its use, previous experience with the object and how it relates to others.",cogatlas,object recognition,cognitive_terms,visual,19,False,"Object recognition [SEP] Is the ability to perceive an objectâs physical properties (such as shape, colour and texture) and apply semantic attributes to the object, which includes the understanding of its use, previous experience with the object and how it relates to others."
Pain,pain,An unpleasant sensory and emotional experience associated with actual or potential tissue damage.,cogatlas,pain,cognitive_terms,motor,27,False,Pain [SEP] An unpleasant sensory and emotional experience associated with actual or potential tissue damage.
Paracentral lobule,paracentral lobule,Paracentral lobule is a part of the brain located in the medial frontal cortex involved in processing somatosensory and motor information.,ollama:qwen2.5:14b-instruct,Paracentral lobule,region_terms,motor,27,False,Paracentral lobule [SEP] Paracentral lobule is a part of the brain located in the medial frontal cortex involved in processing somatosensory and motor information.
Parietal midline,parietal midline,Parietal midline refers to the central region of the parietal lobe involved in spatial awareness and attention.,ollama:qwen2.5:14b-instruct,Parietal midline,region_terms,attention,5,False,Parietal midline [SEP] Parietal midline refers to the central region of the parietal lobe involved in spatial awareness and attention.
Performance monitoring,performance monitoring,The online evaluation of one&#39;s performance on a task.,cogatlas,performance monitoring,cognitive_terms,cingulo_opercular,14,False,Performance monitoring [SEP] The online evaluation of one&#39;s performance on a task.
Phonological processing,phonological processing,"Refers to the use of phonological information (i.e., the sound of one&#39;s language) in processing written and oral language.",cogatlas,phonological processing,cognitive_terms,language,3,False,"Phonological processing [SEP] Refers to the use of phonological information (i.e., the sound of one&#39;s language) in processing written and oral language."
Pitch processing,pitch processing,Pitch processing involves neural mechanisms that detect and interpret the frequency of sound waves to perceive musical notes and tones.,ollama:qwen2.5:14b-instruct,Pitch processing,cognitive_terms,auditory,5,False,Pitch processing [SEP] Pitch processing involves neural mechanisms that detect and interpret the frequency of sound waves to perceive musical notes and tones.
Planning,planning,"Formulation, evaluation and selection of a sequence of actions to achieve a desired goal.",cogatlas,planning,cognitive_terms,frontoparietal_control,18,False,"Planning [SEP] Formulation, evaluation and selection of a sequence of actions to achieve a desired goal."
Planum polare,planum polare,Planum polare is a region in the temporal cortex involved in processing aspects of language and semantics.,ollama:qwen2.5:14b-instruct,Planum polare,region_terms,auditory,5,False,Planum polare [SEP] Planum polare is a region in the temporal cortex involved in processing aspects of language and semantics.
Planum temporale,planum temporale,"The planum temporale is a region of gray matter located in the temporal lobe, specifically within the superior temporal gyrus, which plays a crucial role in speech, language, auditory processing, and perception; it often shows asymmetry between the left and right hemispheres and has been associated with conditions such as schizophrenia.",kg_mesh,planum temporale,region_terms,auditory,5,False,"Planum temporale [SEP] The planum temporale is a region of gray matter located in the temporal lobe, specifically within the superior temporal gyrus, which plays a crucial role in speech, language, auditory processing, and perception; it often shows asymmetry between the left and right hemispheres and has been associated with conditions such as schizophrenia."
Posterior cingulate cortex,posterior cingulate cortex,"Posterior cingulate cortex is a brain region involved in memory, emotion, and self-related processes.",ollama:qwen2.5:14b-instruct,Posterior cingulate cortex,region_terms,default_mode,13,False,"Posterior cingulate cortex [SEP] Posterior cingulate cortex is a brain region involved in memory, emotion, and self-related processes."
Posterior midline regions,posterior midline regions,"Posterior midline regions are brain areas near the back and middle of the head, involved in cognitive functions like memory and attention.",ollama:qwen2.5:14b-instruct,Posterior midline regions,region_terms,default_mode,13,False,"Posterior midline regions [SEP] Posterior midline regions are brain areas near the back and middle of the head, involved in cognitive functions like memory and attention."
Posterior superior temporal gyrus,posterior superior temporal gyrus,Posterior superior temporal gyrus is a brain region involved in auditory processing and language comprehension.,ollama:qwen2.5:14b-instruct,Posterior superior temporal gyrus,region_terms,language,3,False,Posterior superior temporal gyrus [SEP] Posterior superior temporal gyrus is a brain region involved in auditory processing and language comprehension.
Precuneus,precuneus,Precuneus is a brain region involved in self-reflection and memory recall located in the parietal lobe.,ollama:qwen2.5:14b-instruct,Precuneus,region_terms,attention; default_mode,18,False,Precuneus [SEP] Precuneus is a brain region involved in self-reflection and memory recall located in the parietal lobe.
Premotor cortex,premotor cortex,"Premotor cortex is a brain area involved in planning and executing movement, situated anterior to the primary motor cortex.",ollama:qwen2.5:14b-instruct,Premotor cortex,region_terms,motor,27,False,"Premotor cortex [SEP] Premotor cortex is a brain area involved in planning and executing movement, situated anterior to the primary motor cortex."
Primary auditory cortex,primary auditory cortex,Primary area in the brain's temporal lobe responsible for processing basic sound information and initiating auditory perception.,ollama:qwen2.5:14b-instruct,Primary auditory cortex,region_terms,auditory,5,False,Primary auditory cortex [SEP] Primary area in the brain's temporal lobe responsible for processing basic sound information and initiating auditory perception.
Primary motor cortex,primary motor cortex,Primary motor cortex is the brain area responsible for planning and executing voluntary movement commands.,ollama:qwen2.5:14b-instruct,Primary motor cortex,region_terms,motor,27,False,Primary motor cortex [SEP] Primary motor cortex is the brain area responsible for planning and executing voluntary movement commands.
Primary somatosensory cortex,primary somatosensory cortex,"Primary area in the parietal lobe processing sensory information from the body, enabling touch and proprioception awareness.",ollama:qwen2.5:14b-instruct,Primary somatosensory cortex,region_terms,motor,27,False,"Primary somatosensory cortex [SEP] Primary area in the parietal lobe processing sensory information from the body, enabling touch and proprioception awareness."
Primary visual cortex,primary visual cortex,"The Primary Visual Cortex, also known as V1 or striate cortex, is a specialized region in the occipital lobe of the human brain that plays a crucial role in processing visual information; it receives input from the lateral geniculate nucleus of the thalamus and integrates this data to form basic visual perceptions.",kg_mesh,Primary Visual Cortex,region_terms,visual,19,False,"Primary visual cortex [SEP] The Primary Visual Cortex, also known as V1 or striate cortex, is a specialized region in the occipital lobe of the human brain that plays a crucial role in processing visual information; it receives input from the lateral geniculate nucleus of the thalamus and integrates this data to form basic visual perceptions."
Proprioception,proprioception,The sense of the relative position of neighboring parts of the body.,cogatlas,proprioception,cognitive_terms,motor,27,False,Proprioception [SEP] The sense of the relative position of neighboring parts of the body.
Reading,reading,Decoding symbols to derive their meaning.,cogatlas,reading,cognitive_terms,language,3,False,Reading [SEP] Decoding symbols to derive their meaning.
Retrosplenial,retrosplenial,Region in the brain located in the medial parietal cortex involved in spatial memory and navigation.,ollama:qwen2.5:14b-instruct,Retrosplenial,region_terms,default_mode,13,False,Retrosplenial [SEP] Region in the brain located in the medial parietal cortex involved in spatial memory and navigation.
Rule/goal representation,rule goal representation,Neural patterns encoding rules or objectives guiding behavior and decision-making processes.,ollama:qwen2.5:14b-instruct,Rule/goal representation,cognitive_terms,frontoparietal_control,18,False,Rule/goal representation [SEP] Neural patterns encoding rules or objectives guiding behavior and decision-making processes.
Salience detection,salience detection,Salience detection identifies stimuli important for behavior by enhancing relevant neural signals over others.,ollama:qwen2.5:14b-instruct,Salience detection,cognitive_terms,cingulo_opercular,14,False,Salience detection [SEP] Salience detection identifies stimuli important for behavior by enhancing relevant neural signals over others.
